sekolah_id;sarpras_id;nama;jumlah_saat_ini;jumlah_deal;kondisi_baik;kondisi_rusak_ringan;kondisi_rusak_sedang;kondisi_rusak_berat;keterangan;created_at;updated_at
bbe867ca-cd4d-487d-8271-2e7874d7da2f;a6980300-835d-45d1-994b-105149a971f9;Lemari XII IPS;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;efbd28ec-55a0-4109-a801-9484453be9e7;Tempat Sampah XII IPS;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;b80452c0-66e9-45ee-b9a3-6f7901217186;Tempat cuci tangan XII IPS;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;eb2881d8-ab75-4280-9165-35644fa2a974;Jam Dinding XII IPS;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;6a2e95cf-f713-4314-94a0-2b386d3c5d36;Papan Pajang XII IPS;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;dc13df7c-35d7-4f0c-92a8-dacd93cb554b;Soket Listrik XII IPS;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;30f70872-a577-4f16-b01a-b8e0403579fc;Soket Listrik/Kotak Kontak XII IPS;2;2;2;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;efbd28ec-55a0-4109-a801-9484453be9e7;Tempat Sampah Kamar Mandi/WC Siswa Laki-laki;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;4c055727-c37e-40c7-935f-a899d30a68e7;Kloset Jongkok Kamar Mandi/WC Siswa Laki-laki;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;993cfe95-edf9-490a-b2f7-cbb3ca087997;Tempat Air (Bak) Kamar Mandi/WC Siswa Laki-laki;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;e893492a-a0a2-458c-853b-2c21c441d037;Gayung Kamar Mandi/WC Siswa Laki-laki;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;4fd1dad1-2e0c-4a37-ab67-fadbfdc64811;Gantungan Pakaian Kamar Mandi/WC Siswa Laki-laki;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;32307c70-b996-48da-bede-03676e4f241a;Bak media air Kamar Mandi/WC Siswa Laki-laki;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;2768deb2-4fc5-4db0-9995-835db52a7c0e;Gayung (Small Bucket) Kamar Mandi/WC Siswa Laki-laki;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;77e26ec2-34f5-497b-ac56-1604e05b1f32;Gayung Air Kamar Mandi/WC Siswa Laki-laki;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;8d1a0874-122b-41c4-b2d3-d53a60662158;Tempat Air Kamar Mandi/WC Siswa Laki-laki;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;5f67207f-91d7-406a-8b6a-41ae7e65be02;Meja Siswa XI IPS 2;30;30;30;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;633083c1-2da9-420f-b107-aa87d3a6a7b4;Kursi Siswa XI IPS 2;30;30;30;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;ece709d5-6122-45a9-99e7-8b2f27ef9d96;Meja Guru XI IPS 2;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;9be542af-0618-43b8-9a47-e2dffe3fcf8f;Kursi Guru XI IPS 2;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;8e61132d-d946-4333-ba01-32c4741ecc07;Papan Tulis XI IPS 2;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;a6980300-835d-45d1-994b-105149a971f9;Lemari XI IPS 2;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;b1e43732-e0a1-4778-9d7f-1aa34c215253;Rak hasil karya peserta didik XI IPS 2;1;1;0;0;0;1;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;efbd28ec-55a0-4109-a801-9484453be9e7;Tempat Sampah XI IPS 2;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;b80452c0-66e9-45ee-b9a3-6f7901217186;Tempat cuci tangan XI IPS 2;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;eb2881d8-ab75-4280-9165-35644fa2a974;Jam Dinding XI IPS 2;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;5916c642-43ff-49e6-916c-ea931e1258a5;Kotak kontak XI IPS 2;1;1;0;0;0;1;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;dbfd5fb4-e312-4ec3-b33f-ee8d206b8c42;Alat Peraga XI IPS 2;1;1;0;0;0;1;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;6a2e95cf-f713-4314-94a0-2b386d3c5d36;Papan Pajang XI IPS 2;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;dc13df7c-35d7-4f0c-92a8-dacd93cb554b;Soket Listrik XI IPS 2;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;30f70872-a577-4f16-b01a-b8e0403579fc;Soket Listrik/Kotak Kontak XI IPS 2;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;8e61132d-d946-4333-ba01-32c4741ecc07;Papan Tulis Ruang Osis;1;1;0;0;0;1;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;a6980300-835d-45d1-994b-105149a971f9;Lemari Ruang Osis;1;1;0;0;0;1;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;eb2881d8-ab75-4280-9165-35644fa2a974;Jam Dinding Ruang Osis;1;1;0;0;0;1;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;0855132d-ba9c-4bcf-ab2d-5280e754b399;Meja UKS Ruang Osis;1;1;0;0;0;1;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;19650149-9c60-41c8-9bfd-ed8a65fb94aa;Kursi UKS Ruang Osis;1;1;0;0;0;1;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;efbd28ec-55a0-4109-a801-9484453be9e7;Tempat Sampah Kamar Mandi/WC Siswa Perempuan;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;4c055727-c37e-40c7-935f-a899d30a68e7;Kloset Jongkok Kamar Mandi/WC Siswa Perempuan;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;993cfe95-edf9-490a-b2f7-cbb3ca087997;Tempat Air (Bak) Kamar Mandi/WC Siswa Perempuan;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;e893492a-a0a2-458c-853b-2c21c441d037;Gayung Kamar Mandi/WC Siswa Perempuan;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;4fd1dad1-2e0c-4a37-ab67-fadbfdc64811;Gantungan Pakaian Kamar Mandi/WC Siswa Perempuan;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;32307c70-b996-48da-bede-03676e4f241a;Bak media air Kamar Mandi/WC Siswa Perempuan;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;2768deb2-4fc5-4db0-9995-835db52a7c0e;Gayung (Small Bucket) Kamar Mandi/WC Siswa Perempuan;1;1;0;0;0;1;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;77e26ec2-34f5-497b-ac56-1604e05b1f32;Gayung Air Kamar Mandi/WC Siswa Perempuan;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;8d1a0874-122b-41c4-b2d3-d53a60662158;Tempat Air Kamar Mandi/WC Siswa Perempuan;1;1;0;0;0;1;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;32307c70-b996-48da-bede-03676e4f241a;Bak media air Kamar Mandi / MCK UMUM;1;1;0;0;0;1;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;77e26ec2-34f5-497b-ac56-1604e05b1f32;Gayung Air Kamar Mandi / MCK UMUM;1;1;0;0;0;1;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;37f7ceba-e976-4598-99ab-787c20afab65;Gawangan Lapangan MULTIFUNGSI;2;2;2;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;5f67207f-91d7-406a-8b6a-41ae7e65be02;Meja Siswa X IPS 2;25;25;25;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;633083c1-2da9-420f-b107-aa87d3a6a7b4;Kursi Siswa X IPS 2;25;25;25;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;ece709d5-6122-45a9-99e7-8b2f27ef9d96;Meja Guru X IPS 2;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;9be542af-0618-43b8-9a47-e2dffe3fcf8f;Kursi Guru X IPS 2;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;8e61132d-d946-4333-ba01-32c4741ecc07;Papan Tulis X IPS 2;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;a6980300-835d-45d1-994b-105149a971f9;Lemari X IPS 2;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;b1e43732-e0a1-4778-9d7f-1aa34c215253;Rak hasil karya peserta didik X IPS 2;1;1;0;0;0;1;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;efbd28ec-55a0-4109-a801-9484453be9e7;Tempat Sampah X IPS 2;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;b80452c0-66e9-45ee-b9a3-6f7901217186;Tempat cuci tangan X IPS 2;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;eb2881d8-ab75-4280-9165-35644fa2a974;Jam Dinding X IPS 2;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;5916c642-43ff-49e6-916c-ea931e1258a5;Kotak kontak X IPS 2;1;1;0;0;0;1;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;d11ab0a3-fc4a-4275-9b18-472c738983e0;Simbol Kenegaraan X IPS 2;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;dbfd5fb4-e312-4ec3-b33f-ee8d206b8c42;Alat Peraga X IPS 2;1;1;0;0;0;1;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;6a2e95cf-f713-4314-94a0-2b386d3c5d36;Papan Pajang X IPS 2;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;dc13df7c-35d7-4f0c-92a8-dacd93cb554b;Soket Listrik X IPS 2;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;30f70872-a577-4f16-b01a-b8e0403579fc;Soket Listrik/Kotak Kontak X IPS 2;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;5f67207f-91d7-406a-8b6a-41ae7e65be02;Meja Siswa XI IPS 1;29;29;29;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;633083c1-2da9-420f-b107-aa87d3a6a7b4;Kursi Siswa XI IPS 1;29;29;29;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;ece709d5-6122-45a9-99e7-8b2f27ef9d96;Meja Guru XI IPS 1;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;9be542af-0618-43b8-9a47-e2dffe3fcf8f;Kursi Guru XI IPS 1;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;8e61132d-d946-4333-ba01-32c4741ecc07;Papan Tulis XI IPS 1;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;a6980300-835d-45d1-994b-105149a971f9;Lemari XI IPS 1;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;b1e43732-e0a1-4778-9d7f-1aa34c215253;Rak hasil karya peserta didik XI IPS 1;1;1;0;0;0;1;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;efbd28ec-55a0-4109-a801-9484453be9e7;Tempat Sampah XI IPS 1;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;b80452c0-66e9-45ee-b9a3-6f7901217186;Tempat cuci tangan XI IPS 1;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;eb2881d8-ab75-4280-9165-35644fa2a974;Jam Dinding XI IPS 1;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;5916c642-43ff-49e6-916c-ea931e1258a5;Kotak kontak XI IPS 1;1;1;0;0;0;1;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;dbfd5fb4-e312-4ec3-b33f-ee8d206b8c42;Alat Peraga XI IPS 1;1;1;0;0;0;1;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;6a2e95cf-f713-4314-94a0-2b386d3c5d36;Papan Pajang XI IPS 1;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;dc13df7c-35d7-4f0c-92a8-dacd93cb554b;Soket Listrik XI IPS 1;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;30f70872-a577-4f16-b01a-b8e0403579fc;Soket Listrik/Kotak Kontak XI IPS 1;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;ece709d5-6122-45a9-99e7-8b2f27ef9d96;Meja Guru LABORATORIUM KOMPUTER 03;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;9be542af-0618-43b8-9a47-e2dffe3fcf8f;Kursi Guru LABORATORIUM KOMPUTER 03;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;8e61132d-d946-4333-ba01-32c4741ecc07;Papan Tulis LABORATORIUM KOMPUTER 03;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;652fa406-7d09-4deb-a458-2740f4b2e0c5;Komputer LABORATORIUM KOMPUTER 03;1;1;1;0;0;0;;;
