rombel_id;peserta_didik_id;status_keaktifan;tanggal_masuk;tanggal_keluar;keterangan
10ecf0ac-3d63-4158-90cf-a2fad64611d1;71d8e4d8-e5a6-4870-b3e2-91abdbddc2ed;;;;
10ecf0ac-3d63-4158-90cf-a2fad64611d1;161d7c14-772c-4ff9-a9ad-eb511f9c4910;;;;
10ecf0ac-3d63-4158-90cf-a2fad64611d1;9ea33149-3a99-499d-ae18-1874bfbe0b41;;;;
10ecf0ac-3d63-4158-90cf-a2fad64611d1;226d8f12-2e20-4f0a-8e4c-ce85ec257869;;;;
10ecf0ac-3d63-4158-90cf-a2fad64611d1;86d52e88-7a4b-4685-9e1b-4e4cd92c7b2c;;;;
10ecf0ac-3d63-4158-90cf-a2fad64611d1;492156a9-be1e-4dcd-8200-d0e1c88c026a;;;;
10ecf0ac-3d63-4158-90cf-a2fad64611d1;45df0076-8463-47ec-98e3-d0e5b3fa0e3e;;;;
10ecf0ac-3d63-4158-90cf-a2fad64611d1;33ab6979-f684-4c8e-b4fb-94deb0236e3a;;;;
10ecf0ac-3d63-4158-90cf-a2fad64611d1;7ea51352-a244-4745-a016-0be105c58c3e;;;;
10ecf0ac-3d63-4158-90cf-a2fad64611d1;e577b972-6692-43b3-89d5-2b519ec9999a;;;;
10ecf0ac-3d63-4158-90cf-a2fad64611d1;cb4eb442-8e7d-4fbf-ba90-1e98cb170cc7;;;;
10ecf0ac-3d63-4158-90cf-a2fad64611d1;9bb48c9d-eceb-40f6-8385-b12090aad939;;;;
10ecf0ac-3d63-4158-90cf-a2fad64611d1;6b09f991-d970-46fd-9773-191468dea0d0;;;;
10ecf0ac-3d63-4158-90cf-a2fad64611d1;3996d824-b098-49ed-aa16-20867a974efb;;;;
10ecf0ac-3d63-4158-90cf-a2fad64611d1;0de1c835-2898-4912-ae6f-89906a5bf989;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;7ebb3123-da4c-465f-acb9-c237bb8d081d;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;444f2d75-a4e4-4f5b-b60f-c0a97bdf6ae5;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;4ebf10ae-74a5-4a22-9efc-6023e75a9702;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;e3bb7089-6c55-4790-9396-3f5baa5e609e;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;d70941f1-2389-4853-a506-1fc4f95e1ddf;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;ab8bdf20-0b32-4f5b-984c-0918e7d43a81;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;1255b539-b610-4bcf-a641-9cbd3bf6905c;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;54f95cbc-fefe-4d45-9daa-bf49c24f2689;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;43d3ce51-e9d0-4d25-bfb0-48c15a4bfcf0;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;f8f97b89-db15-405b-9896-120b4dd3ef42;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;84409f74-f1eb-457a-a5c4-ba72d5261709;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;fa93aed0-af3b-489e-bc63-1b3b224bfca0;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;ae2ef851-3b85-4f3b-851f-86dea4323bec;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;e924bbc0-75ca-4b4b-8aed-8e46dfdd21aa;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;010e6a92-83e1-431a-893b-60b01c1bed41;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;a8295e4e-296d-4fd2-9651-938866cc7a05;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;535d24ff-1357-4eeb-a6c1-3901767f9673;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;ab4fa98d-3ce8-43a2-bab0-8c83f2a227b2;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;81130ead-fdaa-4968-b849-2430c9c98d92;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;b40119c4-32f0-4c98-8ce9-b8925d87d72e;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;3eca307f-9cd5-4292-8a6c-d6442d3945bb;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;8f8a8681-bf58-424c-9495-24f098d174fe;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;3bdf52a5-fee6-4315-a490-e6e0a43418e6;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;475db36f-957c-401b-ae94-6a74d3547d62;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;1d81488a-407b-412d-8804-7df5dc9e1d88;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;702c591a-c565-4a17-90e9-53954316e199;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;02b3bf3f-ce04-424d-9328-e027ccabc473;;;;
ecef1d45-d10f-4974-aa7f-c00e40560a36;21609dfc-a085-4053-ac22-ea2dcb1790b7;;;;
d64d2d3d-9806-44e1-b613-4027fee746b5;17751cf0-351e-4403-9371-433c67d5ba78;;;;
d64d2d3d-9806-44e1-b613-4027fee746b5;46b90524-7978-4490-9d82-aa9f63dc6706;;;;
d64d2d3d-9806-44e1-b613-4027fee746b5;be63c55c-2902-4c75-a933-2f3463096be7;;;;
d64d2d3d-9806-44e1-b613-4027fee746b5;f7073cfe-c995-4f97-832f-160a6f8e22a8;;;;
d64d2d3d-9806-44e1-b613-4027fee746b5;e73a40e1-d043-426e-83e2-a98ce03e3b93;;;;
d64d2d3d-9806-44e1-b613-4027fee746b5;ee7574bb-f28a-42f0-8257-05c160457db0;;;;
d64d2d3d-9806-44e1-b613-4027fee746b5;43024d98-8bee-437c-975b-31e498a15255;;;;
d64d2d3d-9806-44e1-b613-4027fee746b5;0f361249-5577-4612-a592-185bf4794bee;;;;
d64d2d3d-9806-44e1-b613-4027fee746b5;b8e916ca-e8a0-44a8-ac50-0a334e3e5912;;;;
d64d2d3d-9806-44e1-b613-4027fee746b5;8f444308-1f10-4ea7-9061-3e83afc576e7;;;;
